"Frecuencia","Porcentaje"
"1",996,0.53
"2",354,0.19
"3",141,0.07
"4",25,0.01
"5",24,0.01
"6",19,0.01
"7",18,0.01
"8",16,0.01
"9",15,0.01
"10",15,0.01
"11",12,0.01
"12",11,0.01
"13",11,0.01
"14",10,0.01
"15",9,0
"16",9,0
"17",6,0
"18",6,0
"19",6,0
"20",6,0
"21",6,0
"22",5,0
"23",5,0
"24",5,0
"25",4,0
"26",4,0
"27",4,0
"28",4,0
"29",3,0
"30",3,0
"31",3,0
"32",3,0
"33",2,0
"34",2,0
"35",2,0
"36",2,0
"37",2,0
"38",2,0
"39",2,0
"40",2,0
"41",2,0
"42",2,0
"43",2,0
"44",2,0
"45",2,0
"46",2,0
"47",2,0
"48",2,0
"49",2,0
"50",2,0
"51",2,0
"52",2,0
"53",2,0
"54",2,0
"55",2,0
"56",2,0
"57",2,0
"58",2,0
"59",2,0
"60",2,0
"61",2,0
"62",2,0
"63",2,0
"64",2,0
"65",1,0
"66",1,0
"67",1,0
"68",1,0
"69",1,0
"70",1,0
"71",1,0
"72",1,0
"73",1,0
"74",1,0
"75",1,0
"76",1,0
"77",1,0
"78",1,0
"79",1,0
"80",1,0
"81",1,0
"82",1,0
"83",1,0
"84",1,0
"85",1,0
"86",1,0
"87",1,0
"88",1,0
"89",1,0
"90",1,0
"91",1,0
"92",1,0
"93",1,0
"94",1,0
"95",1,0
"96",1,0
"97",1,0
"98",1,0
"99",1,0
"100",1,0
"101",1,0
"102",1,0
"103",1,0
"104",1,0
"105",1,0
"106",1,0
"107",1,0
"108",1,0
"109",1,0
"110",1,0
"111",1,0
"112",1,0
"113",1,0
"114",1,0
"115",1,0
"116",1,0
"117",1,0
"118",1,0
"119",1,0
"120",1,0
"121",1,0
"122",1,0
"123",1,0
"124",1,0
"125",1,0
"126",1,0
"127",1,0
"128",1,0
"129",1,0
"130",1,0
"131",1,0
